MUNICIPIO|Titulares|NUMERO DECLARACIONES|NUMERO HABITANTES|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO|RENTA BRUTA MEDIA|RENTA DISPONIBLE MEDIA
 Vilafranca de Bonany|1.380|1.186|2.910|1.331|59|19.413|16.345
 Son Servera|5.673|5.263|11.576|1.445|60|18.852|16.091
 Capdepera|5.678|5.241|11.385|1.511|61|18.541|15.851
 Agrupación municipios pequeños|1.347|1.211|3.513|-|-|22.875|18.923
 Canarias|880.839|758.638|2.104.815|||22.221|18.437
 Palmas, Las|462.366|399.995|1.100.027|||22.765|18.850
 Santa Brígida|8.464|7.281|18.775|45|1|33.415|26.115
 Palmas de Gran Canaria, Las|170.971|147.203|382.283|253|3|26.245|21.326
 Teguise|9.028|7.983|21.101|565|9|23.684|19.410
 Haría|1.831|1.569|4.736|773|12|22.377|18.598
 Arucas|16.950|14.214|37.056|786|13|22.291|18.535
 Puerto del Rosario|16.160|14.431|36.790|838|16|21.952|18.198
 San Bartolomé|7.819|6.978|18.689|865|17|21.781|18.123
 Telde|42.404|36.472|102.076|908|19|21.591|18.052
 Teror|5.270|4.290|12.606|938|20|21.376|17.980
 San Bartolomé de Tirajana|20.904|18.411|54.377|948|21|21.309|17.815
 Valsequillo de Gran Canaria|3.743|3.147|9.233|973|22|21.222|17.698
 Firgas|3.356|2.691|7.618|1.012|23|21.020|17.758
 Tías|7.162|6.187|19.658|1.018|24|20.969|17.580
 Agüimes|12.513|10.901|30.244|1.115|28|20.418|17.221
 Agaete|2.191|1.885|5.656|1.138|29|20.317|17.031
 Antigua|3.068|2.685|11.643|1.187|31|20.088|16.787
 Vega de San Mateo|2.992|2.443|7.698|1.222|33|19.921|16.912
 Arrecife|23.957|21.008|56.880|1.235|34|19.867|16.764
 Yaiza|5.346|4.771|15.068|1.270|35|19.705|16.702
 Santa María de Guía de Gran Canaria|5.973|5.064|13.968|1.271|36|19.697|16.687
 Gáldar|10.568|9.014|24.209|1.281|37|19.639|16.658
 Mogán|7.404|6.452|23.491|1.298|38|19.558|16.655
 Tinajo|2.406|2.076|5.808|1.309|39|19.511|16.501
 Tuineje|5.591|5.126|13.778|1.328|40|19.416|16.496
 Ingenio|13.285|11.433|30.173|1.416|44|19.001|16.200
 Pájara|8.220|7.412|19.679|1.429|45|18.929|16.215
 Moya|3.358|2.719|7.869|1.502|51|18.585|15.911
 Oliva, La|7.784|6.940|24.307|1.572|52|18.264|15.568
 Santa Lucía de Tirajana|28.372|24.649|68.544|1.673|57|17.867|15.407
 Tejeda|426|351|1.990|1.832|62|17.179|14.794
 Valleseco|1.386|1.140|3.886|2.145|70|16.070|14.016
 Artenara|297|258|1.180|2.177|72|15.926|13.790
 Aldea de San Nicolás, La|2.941|2.626|8.225|2.395|80|15.030|13.210
 Agrupación municipios pequeños|226|185|733|-|-|19.668|16.766
 Santa Cruz de Tenerife|418.473|358.643|1.004.788|||21.615|17.976
 Rosario, El|7.604|6.659|17.329|131|2|28.834|23.029
 Santa Cruz de Tenerife|93.226|80.654|205.279|267|4|26.124|21.273
 Candelaria|11.492|9.950|26.543|400|5|24.797|20.350
 Tegueste|5.254|4.468|11.097|452|6|24.414|19.936
 Tacoronte|10.523|8.742|23.929|529|7|23.882|19.533
 Sauzal, El|3.867|3.203|8.998|550|8|23.760|19.417
 San Cristóbal de La Laguna|66.795|57.435|153.009|614|10|23.309|19.189
 Breña Baja|2.433|2.110|5.366|626|11|23.222|18.932
 Puerto de la Cruz|12.432|10.605|29.435|808|14|22.153|18.347
 Santa Cruz de la Palma|7.457|6.409|16.184|810|15|22.123|18.369
 Valverde|2.051|1.751|4.973|886|18|21.708|18.006
 Arafo|2.095|1.746|5.464|1.029|25|20.892|17.571
 Breña Alta|3.232|2.754|7.293|1.091|26|20.558|17.169
 San Sebastián de la Gomera|4.320|3.802|8.668|1.098|27|20.519|17.166
 Güímar|7.314|6.285|18.751|1.171|30|20.178|16.960
 Adeje|15.592|13.891|46.667|1.207|32|19.979|16.705
 Villa de Mazo|1.999|1.721|4.927|1.338|41|19.373|16.364
 Santa Úrsula|6.230|5.077|14.296|1.342|42|19.334|16.263
 Orotava, La|18.594|15.119|41.179|1.353|43|19.302|16.331
 Fasnia|851|742|2.846|1.431|46|18.912|16.080
 Puntallana|1.021|896|2.348|1.436|47|18.889|16.053
 Arico|2.625|2.300|7.670|1.473|48|18.745|15.836
 Matanza de Acentejo, La|3.692|2.960|8.745|1.485|49|18.688|15.870
 San Miguel de Abona|6.014|5.394|16.221|1.494|50|18.621|15.813
 Vilaflor|691|586|1.715|1.585|53|18.216|15.518
 Granadilla de Abona|16.265|14.554|43.455|1.601|54|18.149|15.470
 Llanos de Aridane, Los|9.185|7.848|20.416|1.615|55|18.111|15.389
 Arona|26.351|23.381|79.890|1.653|56|17.960|15.366
 Santiago del Teide|2.817|2.446|10.468|1.697|58|17.773|15.270
 Paso, El|3.154|2.667|7.617|1.724|59|17.666|15.050
 Pinar de El Hierro, El|222|194|1.801|1.805|60|17.315|14.725
 Frontera|1.838|1.547|3.901|1.824|61|17.236|14.735
 Guía de Isora|7.343|6.508|20.061|1.876|63|16.982|14.660
 Realejos, Los|16.738|13.501|36.860|1.877|64|16.975|14.648
 Alajeró|686|602|1.954|1.888|65|16.941|14.616
 San Andrés y Sauces|2.343|1.972|4.378|1.915|66|16.848|14.649
 Fuencaliente de la Palma|786|690|1.745|1.966|67|16.679|14.542
 Garachico|1.950|1.607|5.169|2.003|68|16.549|14.336
 Icod de los Vinos|9.980|8.036|22.913|2.089|69|16.281|14.104
 Victoria de Acentejo, La|3.736|2.978|9.026|2.166|71|15.987|13.910
 Valle Gran Rey|1.342|1.218|4.181|2.178|73|15.923|13.918
 Guancha, La|2.379|1.931|5.482|2.204|74|15.812|13.823
 Agulo|404|352|1.086|2.231|75|15.731|13.728
 San Juan de la Rambla|2.121|1.726|5.053|2.246|76|15.639|13.661
 Silos, Los|1.807|1.513|4.727|2.259|77|15.559|13.615
 Barlovento|885|724|2.005|2.303|78|15.390|13.528
 Tijarafe|1.104|958|2.684|2.393|79|15.039|13.162
 Tazacorte|1.767|1.498|4.844|2.437|81|14.906|13.155
 Buenavista del Norte|1.810|1.521|4.884|2.462|82|14.845|13.080
 Vallehermoso|1.003|848|2.913|2.602|83|14.277|12.709
 Puntagorda|683|568|2.031|2.618|84|14.220|12.499
 Hermigua|788|669|1.919|2.630|85|14.176|12.532
 Tanque, El|1.092|921|2.775|2.742|86|13.688|12.228
 Garafía|490|406|1.618|2.825|87|13.202|11.781
 Cantabria|325.770|270.493|588.656|||24.137|19.911
 Cantabria|325.770|270.493|588.656|||24.137|19.911
 Santa Cruz de Bezana|7.362|6.325|12.500|100|1|29.772|23.673
 Castro|17.691|14.710|32.144|144|2|28.326|22.788
 Santander|98.495|84.260|175.736|185|3|27.249|22.108
 Liendo|627|518|1.250|207|4|26.888|21.878
 Piélagos|13.970|11.804|23.999|258|5|26.195|21.285
 Guriezo|1.292|1.056|2.383|389|6|24.899|20.500
 Villaescusa|1.964|1.594|3.808|502|7|24.071|19.854
 Ribamontán al Mar|2.392|2.018|4.462|532|8|23.874|19.527
 Marina de Cudeyo|3.015|2.494|5.223|534|9|23.852|19.723
 Argoños|952|807|1.705|560|10|23.718|19.564
 Camargo|17.603|14.431|31.007|575|11|23.646|19.659
 Miengo|2.866|2.385|4.626|621|12|23.259|19.283
 Reinosa|6.507|5.251|9.804|625|13|23.236|19.460
 Suances|4.907|3.945|8.580|646|14|23.137|19.149
 Astillero, El|10.055|8.293|18.282|671|15|22.968|19.133
 Corrales de Buelna, Los|6.652|5.003|11.230|677|16|22.948|19.340
 Limpias|954|800|1.837|706|17|22.789|18.920
 Campoo de Enmedio|2.381|1.914|3.795|727|18|22.653|18.862
 Medio Cudeyo|4.226|3.498|7.576|750|19|22.515|18.787
 Reocín|4.831|3.765|8.328|751|20|22.511|18.844
 Bárcena de Cicero|2.494|2.109|4.080|767|21|22.408|18.723
 Polanco|3.231|2.569|5.633|783|22|22.302|18.685
 Santillana del Mar|2.403|1.922|4.197|794|23|22.243|18.695
 Ribamontán al Monte|1.184|989|2.215|803|24|22.182|18.443
 Mazcuerras|1.111|880|2.131|816|25|22.089|18.312
 Laredo|5.961|5.084|11.800|826|26|22.040|18.469
 Torrelavega|30.262|24.051|54.196|829|27|22.013|18.481
 Colindres|4.332|3.601|8.272|864|28|21.782|18.283
 Entrambasaguas|2.829|2.397|4.914|895|29|21.662|18.213
 Penagos|1.059|876|1.997|913|30|21.543|18.110
 Hermandad de Campoo de Suso|770|664|1.687|944|31|21.326|17.795
 Ampuero|2.386|1.939|4.228|986|32|21.184|17.841
 Santa María de Cayón|4.893|4.040|9.097|1.001|33|21.071|17.750
 Castañeda|1.509|1.267|2.659|1.016|34|20.973|17.529
 Cabezón de la Sal|4.832|3.880|8.369|1.024|35|20.925|17.633
 Puente Viesgo|1.527|1.242|2.851|1.038|36|20.825|17.608
 Santoña|5.421|4.634|11.222|1.040|37|20.814|17.589
 Arnuero|1.149|965|2.107|1.042|38|20.798|17.351
 Valdeolea|592|475|1.055|1.052|39|20.750|17.874
 Santiurde de Toranzo|821|651|1.581|1.061|40|20.700|17.473
 Liérganes|1.283|1.044|2.370|1.063|41|20.685|17.423
 Cartes|3.142|2.535|5.687|1.090|42|20.566|17.442
 Hazas de Cesto|838|684|1.524|1.102|43|20.484|17.554
 San Felices de Buelna|1.303|981|2.394|1.122|44|20.399|17.489
 Voto|1.522|1.268|2.751|1.169|45|20.195|17.129
 Alfoz de Lloredo|1.353|1.072|2.499|1.174|46|20.155|17.183
 Noja|1.295|1.084|2.551|1.196|47|20.058|16.793
 Meruelo|924|775|1.912|1.252|48|19.777|16.683
 Ramales de la Victoria|1.512|1.272|2.820|1.307|49|19.514|16.509
 Villafufre|470|378|1.062|1.334|50|19.389|16.394
 Riotuerto|856|679|1.594|1.348|51|19.318|16.477
 Comillas|1.142|927|2.320|1.372|52|19.215|16.347
 Bareyo|1.077|893|2.016|1.428|53|18.932|16.219
 Arenas de Iguña|1.032|785|1.775|1.441|54|18.865|16.331
 San Vicente de la Barquera|2.273|1.877|4.314|1.487|55|18.652|15.957
 Potes|777|662|1.421|1.498|56|18.591|15.801
 Valdáliga|1.068|854|2.299|1.534|57|18.485|15.839
 Solórzano|513|422|1.002|1.596|58|18.186|15.819
 Selaya|1.063|887|1.990|1.631|59|18.055|15.260
 Ruente|474|377|1.034|1.664|60|17.891|15.352
 Cillorigo de Liébana|665|568|1.345|1.671|61|17.876|15.473
 Corvera de Toranzo|1.077|881|2.121|1.713|62|17.709|15.315
 Cabuérniga|450|373|1.016|1.748|63|17.556|15.025
 Rionansa|500|414|1.053|1.843|64|17.115|14.951
 Molledo|784|635|1.612|1.860|65|17.061|14.828
 Villacarriedo|788|669|1.701|1.862|66|17.051|14.574
 Val de San Vicente|1.452|1.214|2.823|1.957|67|16.717|14.512
 Camaleño|449|392|1.001|2.117|68|16.189|14.175
 Valderredible|392|335|1.010|2.192|69|15.858|13.915
 Soba|594|499|1.280|2.793|70|13.394|11.980
 Agrupación municipios pequeños|7.194|5.951|15.793|-|-|16.648|14.475
 Castilla|1.109.236|883.360|2.080.838|||20.740|17.465
 Albacete|214.109|171.286|396.987|||20.459|17.220
 Albacete|95.991|80.098|172.487|453|21|24.410|20.052
 Almansa|12.689|10.275|25.024|1.133|57|20.358|17.106
 Chinchilla de Monte|2.206|1.778|4.099|1.381|75|19.174|16.379
 Roda, La|8.671|6.633|15.979|1.399|77|19.106|16.264
 Villarrobledo|13.717|10.506|26.419|1.489|87|18.648|15.962
 Casas|2.614|2.033|4.713|1.578|98|18.245|15.725
 Madrigueras|2.857|2.278|4.739|1.746|120|17.563|15.062
 Caudete|5.341|4.185|10.294|1.754|122|17.509|15.026
 Montealegre del Castillo|1.262|980|2.162|1.756|123|17.499|15.196
 Gineta, La|1.387|1.111|2.485|1.777|126|17.424|15.019
 Hellín|15.318|12.028|30.862|1.779|127|17.412|14.966
 Pozo Cañada|1.370|994|2.815|1.887|141|16.946|14.854
 Peñas de San Pedro|539|395|1.405|1.965|153|16.686|14.546
 Alcaraz|737|586|1.533|1.971|155|16.662|14.385
 Elche de la Sierra|2.043|1.587|3.814|2.008|161|16.536|14.342
 Valdeganga|1.031|771|1.928|2.044|167|16.418|14.456
 Balazote|1.322|1.021|2.417|2.052|169|16.399|14.373
 Higueruela|690|525|1.273|2.084|176|16.298|14.365
 Fuente|1.482|1.126|2.652|2.086|177|16.291|14.351
 Liétor|758|532|1.336|2.136|184|16.096|14.323
 Bonete|619|488|1.157|2.184|191|15.880|13.843
 Tobarra|4.378|3.325|8.075|2.227|201|15.742|13.768
 Fuentealbilla|1.035|792|1.931|2.248|206|15.624|13.822
 Mahora|825|625|1.430|2.267|209|15.530|13.788
 Tarazona de la Mancha|3.574|2.620|6.550|2.278|210|15.473|13.667
 Pozohondo|980|728|1.723|2.299|212|15.403|13.731
 Casas de Juan Núñez|760|589|1.372|2.307|213|15.376|13.594
 Alpera|1.303|963|2.358|2.357|220|15.174|13.629
 Bonillo, El|1.622|1.232|2.956|2.451|237|14.871|13.132
 San Pedro|554|437|1.226|2.483|240|14.765|12.977
 Barrax|999|727|1.920|2.485|241|14.757|13.138
 Minaya|846|649|1.571|2.488|242|14.743|13.201
 Letur|537|403|1.018|2.515|247|14.601|13.141
 Riópar|698|560|1.477|2.533|250|14.528|12.839
 Ontur|1.254|937|2.169|2.586|255|14.319|12.942
 Alcalá del Júcar|709|549|1.307|2.615|259|14.240|12.848
 Villamalea|2.396|1.864|4.148|2.628|262|14.178|12.719
 Lezuza|807|590|1.504|2.714|273|13.810|12.403
 Munera|2.173|1.580|3.678|2.741|275|13.691|12.316
 Villalgordo del Júcar|660|499|1.157|2.761|276|13.567|12.286
 Ossa de Montiel|1.393|1.065|2.530|2.782|277|13.461|12.018
 Yeste|1.585|1.196|2.964|2.817|280|13.232|12.033
 Socovos|884|661|1.881|2.836|281|13.129|11.883
 Cenizate|681|516|1.176|2.875|282|12.895|11.708
 Nerpio|702|550|1.384|2.925|285|12.308|11.035
 Agrupación municipios pequeños|10.110|7.699|19.889|-|-|14.230|12.851
 Ciudad Real|270.362|208.739|519.613|||20.434|17.271
 Ciudad Real|40.865|34.584|74.960|177|8|27.341|22.176
 Puertollano|26.831|20.383|50.608|361|16|25.096|20.742
 Alcázar de San Juan|16.482|13.195|31.650|679|28|22.941|19.015
 Poblete|1.228|1.010|2.234|696|29|22.820|18.947
 Manzanares|10.092|7.918|18.924|817|39|22.086|18.520
 Argamasilla de Calatrava|3.317|2.489|5.997|852|41|21.885|18.388
 Miguelturra|8.085|6.507|14.967|922|46|21.492|18.020
 Valdepeñas|16.072|12.450|30.705|992|49|21.147|17.776
 Almodóvar del Campo|4.045|3.047|6.582|1.000|50|21.084|17.795
 Almagro|4.513|3.464|9.017|1.373|74|19.212|16.379
 Almadén|2.797|2.067|5.861|1.414|78|19.006|16.285
 Tomelloso|17.566|13.453|38.080|1.442|82|18.862|16.095
 Daimiel|9.429|7.184|18.647|1.594|99|18.194|15.714
 Carrión de Calatrava|1.665|1.356|3.080|1.597|100|18.178|15.616
 Campo de Criptana|7.537|5.547|14.387|1.603|101|18.137|15.634
 Villanueva de los Infantes|2.771|2.099|5.498|1.617|103|18.099|15.589
 Membrilla|3.701|2.766|6.246|1.626|106|18.073|15.677
 Pozuelo de Calatrava|1.578|1.192|3.349|1.672|111|17.869|15.445
 Argamasilla de Alba|3.467|2.624|7.201|1.816|131|17.274|14.999
 Fernán Caballero|548|413|1.089|1.849|134|17.099|14.955
 Santa Cruz de Mudela|2.264|1.702|4.455|1.868|136|17.010|14.737
 Socuéllamos|6.536|4.970|13.293|1.880|138|16.966|14.722
 Villarta de San Juan|1.404|1.047|3.000|1.938|150|16.792|14.499
 Pedro Muñoz|4.019|3.009|7.802|1.994|158|16.583|14.422
 Bolaños de Calatrava|6.004|4.436|12.135|2.057|171|16.373|14.342
 Piedrabuena|2.273|1.671|4.672|2.092|178|16.263|14.241
 Torralba de Calatrava|1.580|1.208|3.106|2.095|179|16.258|14.379
 Viso del Marqués|1.377|1.021|2.578|2.135|183|16.100|14.340
 Malagón|4.282|3.248|8.433|2.139|185|16.091|14.158
 Solana, La|8.741|6.461|16.042|2.157|187|16.030|14.035
 Chillón|1.058|768|1.983|2.169|190|15.967|14.042
 Calzada de Calatrava|2.203|1.622|4.155|2.188|192|15.868|14.066
 Herencia|4.177|3.077|8.847|2.199|194|15.836|14.005
 Brazatortas|528|404|1.037|2.207|197|15.791|14.007
 Alcolea de Calatrava|711|545|1.513|2.216|199|15.771|13.831
 Corral de Calatrava|620|467|1.150|2.218|200|15.764|13.803
 Porzuna|1.709|1.240|3.925|2.247|205|15.638|13.855
 Aldea del Rey|972|697|1.858|2.266|208|15.533|13.732
 Villarrubia de los Ojos|5.669|4.138|10.738|2.317|214|15.348|13.651
 Cózar|630|476|1.134|2.382|222|15.082|13.414
 Robledo, El|523|404|1.250|2.399|225|15.017|13.236
 Moral de Calatrava|2.988|2.167|5.424|2.404|227|15.001|13.413
 Abenójar|701|509|1.520|2.433|233|14.917|13.425
 San Carlos del Valle|687|500|1.211|2.504|244|14.651|13.141
 Retuerta del Bullaque|449|345|1.036|2.505|245|14.649|13.100
 Puebla de Don Rodrigo|628|446|1.236|2.519|249|14.582|13.096
 Fuente el Fresno|1.847|1.345|3.432|2.553|251|14.455|12.963
 Agudo|891|659|1.785|2.587|256|14.318|12.812
 Torre de Juan Abad|570|414|1.139|2.594|257|14.299|12.911
 Fuencaliente|633|467|1.088|2.606|258|14.271|12.829
 Castellar de Santiago|1.185|867|2.123|2.633|263|14.169|12.969
 Albaladejo|705|518|1.398|2.663|265|14.030|12.687
 Villanueva de la Fuente|1.191|871|2.339|2.695|269|13.893|12.652
 Villahermosa|1.097|789|2.083|2.700|270|13.880|12.476
 Torrenueva|1.705|1.202|2.988|2.713|272|13.824|12.558
 Arenas de San Juan|551|420|1.089|2.722|274|13.775|12.582
 Montiel|883|672|1.472|2.804|278|13.306|12.046
 Alhambra|630|463|1.054|2.880|283|12.849|11.775
 Carrizosa|814|568|1.369|2.912|284|12.479|11.509
 Villamanrique|831|599|1.309|2.955|286|11.628|10.790
 Agrupación municipios pequeños|11.507|8.559|22.330|-|-|14.689|13.144
 Cuenca|114.219|90.353|207.919|||18.889|16.199
 Arcas|894|777|1.594|401|18|24.790|20.385
 Cuenca|32.315|27.438|55.738|412|19|24.677|20.492
 Villar de Olalla|711|576|1.240|608|26|23.361|19.320
 Motilla del Palancar|3.211|2.555|5.915|1.070|53|20.648|17.245
 Tarancón|8.015|6.438|15.604|1.166|61|20.204|17.051
 Priego|444|348|1.043|1.475|86|18.736|16.177
 San Clemente|3.828|2.966|7.188|1.647|108|17.995|15.427
 Huete|834|652|1.881|1.884|139|16.957|14.826
 Fuente de Pedro Naharro|739|564|1.295|1.930|147|16.812|14.743
 Mota del Cuervo|3.526|2.716|6.259|1.962|152|16.691|14.492
 Landete|810|646|1.336|2.007|160|16.539|14.378
 Iniesta|2.479|1.905|4.448|2.023|162|16.500|14.452
 Belmonte|1.126|832|2.033|2.042|166|16.434|14.138
 Honrubia|947|701|1.719|2.072|173|16.334|14.309
 Horcajo de Santiago|2.051|1.537|3.673|2.118|181|16.187|14.231
 Sisante|1.032|772|1.800|2.230|203|15.736|13.996
 San Lorenzo de la Parrilla|661|510|1.160|2.318|215|15.348|13.651
 Provencio, El|1.389|1.034|2.544|2.320|216|15.340|13.747
 Pedroñeras, Las|3.683|2.893|6.767|2.324|217|15.317|13.472
 Valeras, Las|805|606|1.619|2.342|218|15.234|13.314
 Villamayor de Santiago|1.339|980|2.842|2.344|219|15.225|13.502
 Villanueva de la Jara|1.485|1.100|2.273|2.402|226|15.009|13.282
 Alberca de Záncara, La|925|723|1.769|2.423|230|14.949|13.302
 Valverde de Júcar|621|467|1.193|2.431|232|14.927|13.287
 Pedernoso, El|637|471|1.213|2.448|236|14.876|13.217
 Casas de Fernando Alonso|713|519|1.358|2.464|238|14.838|13.289
 Casasimarro|1.717|1.280|3.175|2.512|246|14.617|13.143
 Campillo de Altobuey|821|593|1.510|2.560|253|14.446|13.045
 Minglanilla|1.352|1.008|2.348|2.623|260|14.199|12.720
 Quintanar del Rey|4.225|3.110|7.717|2.625|261|14.180|12.539
 Mesas, Las|1.333|999|2.501|2.639|264|14.153|12.613
 Ledaña|1.053|766|1.723|2.703|271|13.862|12.553
 Villalpardo|664|482|1.023|2.809|279|13.281|12.019
 Agrupación municipios pequeños|27.834|21.389|52.418|-|-|15.243|13.613
 Guadalajara|134.951|113.137|257.183|||24.321|20.097
 Cabanillas del Campo|5.305|4.519|9.811|89|1|30.301|24.149
 Casar, El|5.741|4.830|11.643|117|2|29.362|23.540
 Trillo|473|407|1.431|169|6|27.528|22.035
 Valdeaveruelo|572|485|1.060|175|7|27.418|21.979
 Guadalajara|47.698|40.604|83.720|225|9|26.611|21.709
 Chiloeches|2.035|1.731|3.310|265|11|26.141|21.301
 Uceda|1.498|1.275|2.651|278|13|26.005|21.181
 Villanueva de la Torre|3.351|2.780|6.383|323|14|25.522|21.107
 Yebes|1.228|1.119|2.551|341|15|25.269|20.632
 Alovera|6.523|5.548|12.237|427|20|24.581|20.410
 Azuqueca de Henares|17.231|14.275|35.335|478|22|24.222|20.159
 Cifuentes|892|734|1.961|551|24|23.759|19.308
 Galápagos|1.274|1.071|2.339|658|27|23.033|19.056
 Torrejón del Rey|2.675|2.222|5.150|735|32|22.621|18.942
 Horche|1.258|1.044|2.473|758|33|22.445|18.731
 Pioz|1.840|1.579|3.579|797|37|22.214|18.629
 Albalate de Zorita|520|423|1.022|802|38|22.197|18.724
 Marchamalo|3.756|3.133|6.664|832|40|21.994|18.525
 Fontanar|1.237|1.071|2.349|861|42|21.797|18.248
 Pozo de Guadalajara|709|611|1.255|930|47|21.425|18.135
 Yunquera de Henares|2.030|1.689|3.795|1.118|56|20.413|17.377
 Torija|683|579|1.482|1.140|59|20.305|17.459
 Trijueque|669|524|1.336|1.159|60|20.231|17.352
 Sigüenza|2.512|2.129|4.712|1.195|64|20.061|17.029
 Molina de Aragón|2.099|1.720|3.572|1.274|66|19.682|16.843
 Loranca de Tajuña|649|549|1.314|1.291|68|19.585|16.610
 Pastrana|458|363|1.011|1.434|80|18.903|16.197
 Humanes|768|625|1.539|1.496|88|18.604|16.005
 Mondéjar|1.346|1.006|2.636|1.506|89|18.573|16.033
 Brihuega|1.279|1.035|2.593|1.541|93|18.456|15.871
 Sacedón|843|658|1.716|1.607|102|18.128|15.493
 Jadraque|854|681|1.576|1.651|109|17.983|15.525
 Almoguera|598|476|1.401|1.733|116|17.616|15.296
 Agrupación municipios pequeños|14.347|11.642|31.576|-|-|17.988|15.595
 Toledo|375.595|299.845|699.136|||20.321|17.129
 Cobisa|2.679|2.328|4.143|136|3|28.520|22.903
 Olías del Rey|4.501|3.845|7.152|139|4|28.414|22.832
 Pepino|1.464|1.215|2.643|163|5|27.696|22.295
 Toledo|57.766|50.799|83.334|250|10|26.282|21.250
 Nambroca|2.844|2.399|4.386|270|12|26.048|21.195
 Bargas|5.528|4.703|10.002|365|17|25.081|20.344
 Ontígola|2.975|2.470|4.046|508|23|24.050|19.903
 Argés|3.588|3.083|5.900|574|25|23.651|19.577
 Illescas|12.482|10.328|25.721|711|30|22.769|18.917
 San Román de los Montes|1.033|854|1.850|726|31|22.673|18.677
 Burguillos de Toledo|1.908|1.661|3.002|761|34|22.438|18.708
 Villaluenga de la Sagra|2.116|1.652|3.963|775|35|22.342|18.814
 Seseña|10.175|8.499|21.121|782|36|22.306|18.629
 Carranque|2.378|1.918|4.619|862|43|21.797|18.291
 Ugena|2.854|2.278|5.357|892|44|21.668|18.249
 Ocaña|5.057|4.051|11.093|899|45|21.623|18.122
 Esquivias|2.972|2.308|5.432|962|48|21.276|18.006
 Ventas de Retamosa, Las|1.729|1.386|3.389|1.026|51|20.905|17.745
 Torrijos|6.504|5.106|13.241|1.045|52|20.780|17.402
 Casarrubios del Monte|2.998|2.436|5.354|1.089|54|20.568|17.306
 Talavera de la Reina|42.168|33.560|86.779|1.114|55|20.419|17.202
 Villaseca de la Sagra|926|725|1.844|1.134|58|20.350|17.245
 Méntrida|2.490|1.966|4.976|1.184|62|20.104|17.093
 Noblejas|1.921|1.479|3.589|1.185|63|20.097|17.046
 Santa Cruz del Retamar|1.456|1.144|2.998|1.208|65|19.976|16.991
 Valmojado|2.178|1.722|4.178|1.287|67|19.605|16.650
 Yeles|2.381|1.928|5.109|1.301|69|19.544|16.663
 Villarrubia de Santiago|1.620|1.175|2.716|1.304|70|19.520|16.897
 Yuncler|1.709|1.354|3.600|1.312|71|19.505|16.669
 Viso de San Juan, El|2.141|1.754|4.261|1.327|72|19.428|16.672
 Guadamur|976|768|1.846|1.361|73|19.270|16.390
 Magán|1.525|1.215|3.240|1.397|76|19.122|16.281
 Yuncos|4.976|3.953|10.566|1.425|79|18.971|16.320
 Numancia de la Sagra|2.225|1.767|4.801|1.439|81|18.881|16.146
 Camarena|1.952|1.541|3.788|1.444|83|18.852|16.165
 Villasequilla|1.434|1.118|2.587|1.469|84|18.751|16.034
 Novés|1.397|1.087|2.746|1.471|85|18.746|16.017
 Yébenes, Los|3.195|2.385|6.158|1.510|90|18.550|15.866
 Oropesa|1.439|1.099|2.818|1.520|91|18.513|15.963
 Escalona|1.392|1.064|3.349|1.527|92|18.501|15.853
 Torre de Esteban Hambrán, La|993|750|1.763|1.545|94|18.434|15.866
 Alameda de la Sagra|1.851|1.365|3.509|1.553|95|18.376|15.845
 Pantoja|1.736|1.274|3.424|1.564|96|18.314|15.828
 Quintanar de la Orden|6.154|4.657|11.987|1.565|97|18.314|15.695
 Cobeja|1.194|892|2.207|1.620|104|18.095|15.760
 Cedillo del Condado|1.770|1.429|3.654|1.625|105|18.074|15.516
 Lominchar|1.095|843|2.365|1.645|107|18.005|15.570
 Yepes|2.768|2.094|5.070|1.663|110|17.894|15.531
 Polán|2.026|1.572|3.952|1.676|112|17.840|15.322
 Casar de Escalona, El|752|575|2.037|1.682|113|17.816|15.453
 Segurilla|709|555|1.302|1.695|114|17.784|15.347
 Tembleque|1.229|918|2.179|1.712|115|17.716|15.401
 Fuensalida|5.129|3.984|11.132|1.736|117|17.601|15.086
 Borox|1.823|1.427|3.561|1.737|118|17.594|15.199
 Mocejón|2.517|1.945|4.842|1.740|119|17.585|15.097
 Cabañas de la Sagra|885|698|1.825|1.749|121|17.552|15.129
 Mora|5.761|4.454|10.315|1.766|124|17.459|15.107
 Santo Domingo|515|411|1.050|1.773|125|17.433|15.018
 Chozas de Canales|1.577|1.260|3.786|1.786|128|17.391|15.157
 Puebla de Montalbán, La|4.077|3.194|8.179|1.793|129|17.368|15.013
 Recas|1.997|1.541|4.246|1.812|130|17.285|14.918
 Sonseca|6.018|4.944|11.437|1.820|132|17.247|14.868
 Añover de Tajo|2.684|2.010|5.224|1.838|133|17.154|14.898
 Orgaz|1.531|1.175|2.727|1.856|135|17.080|14.913
 Corral de Almaguer|3.234|2.478|5.590|1.870|137|17.002|14.890
 Gerindote|1.214|887|2.341|1.886|140|16.951|14.548
 Cuerva|714|520|1.490|1.893|142|16.924|14.872
 Burujón|654|488|1.435|1.904|143|16.881|14.704
 Consuegra|6.201|4.611|10.516|1.905|144|16.879|14.683
 Santa Cruz de la Zarza|2.697|2.005|4.538|1.914|145|16.849|14.633
 Quero|633|470|1.145|1.929|146|16.814|14.491
