MUNICIPIO|Titulares|NUMERO DECLARACIONES|NUMERO HABITANTES|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO|RENTA BRUTA MEDIA|RENTA DISPONIBLE MEDIA
 Villaviciosa de Córdoba|1.867|1.365|3.478|2.746|449|13.674|12.261
 Monturque|1.055|861|1.995|2.784|468|13.454|12.042
 Fuente Palmera|5.410|4.400|11.068|2.796|473|13.370|11.969
 Valenzuela|792|671|1.261|2.800|476|13.330|12.131
 Villaralto|736|626|1.264|2.819|484|13.221|12.043
 Cardeña|825|661|1.606|2.827|490|13.198|11.842
 Moriles|1.905|1.466|3.872|2.838|499|13.122|11.817
 Almedinilla|1.490|1.198|2.468|2.898|535|12.635|11.449
 Iznájar|2.388|1.901|4.637|2.918|545|12.444|11.273
 Adamuz|2.471|2.033|4.398|2.919|546|12.438|11.221
 Nueva Carteya|3.200|2.518|5.540|2.936|556|12.175|10.986
 Agrupación municipios pequeños|3.739|3.012|6.629|-|-|13.604|12.268
 Granada|450.969|364.336|919.455|||20.747|17.453
 Cájar|2.597|2.142|4.929|181|10|27.285|22.074
 Villa de Otura|3.484|2.748|6.872|192|11|27.110|21.754
 Granada|124.256|105.511|237.540|212|12|26.790|21.824
 Gójar|2.863|2.317|5.390|368|21|25.042|20.592
 Ogíjares|7.341|5.950|13.681|409|23|24.709|20.245
 Huétor Vega|6.313|5.126|11.844|515|26|23.988|19.659
 Jun|1.900|1.505|3.661|651|35|23.119|19.267
 Albolote|9.394|7.461|18.306|660|36|23.023|19.034
 Monachil|3.744|3.078|7.398|728|41|22.652|18.766
 Armilla|10.584|8.585|23.175|789|45|22.259|18.543
 Dílar|869|689|1.825|798|46|22.210|18.663
 Zubia, La|9.200|7.407|18.574|812|48|22.112|18.398
 Peligros|5.645|4.502|11.212|956|56|21.293|17.873
 Cúllar Vega|3.533|2.796|7.139|978|58|21.196|17.777
 Cenes de la Vega|3.855|3.154|7.943|1.065|65|20.679|17.263
 Huétor de Santillán|993|765|1.916|1.099|69|20.519|17.293
 Alhendín|4.286|3.493|8.306|1.149|72|20.279|17.143
 Gabias, Las|10.046|8.070|19.364|1.206|77|19.983|16.923
 Alfacar|2.841|2.183|5.490|1.210|79|19.962|17.014
 Vegas del Genil|5.511|4.412|10.264|1.220|80|19.926|16.982
 Pinos Genil|730|574|1.407|1.238|82|19.839|16.698
 Churriana de la Vega|7.092|5.808|13.652|1.255|86|19.770|16.814
 Maracena|10.557|8.359|21.633|1.268|90|19.720|16.830
 Motril|28.256|22.567|60.870|1.317|92|19.463|16.546
 Santa Fe|6.534|5.149|15.168|1.354|97|19.293|16.448
 Atarfe|8.300|6.517|17.570|1.411|107|19.021|16.277
 Guadix|9.327|7.333|18.898|1.514|114|18.524|15.837
 Salobreña|5.650|4.308|12.431|1.531|116|18.494|15.923
 Pulianas|2.548|1.973|5.366|1.544|119|18.436|15.866
 Baza|10.463|8.303|20.644|1.588|125|18.213|15.542
 Almuñécar|12.046|9.400|27.195|1.691|142|17.799|15.328
 Padul|4.315|3.386|8.353|1.771|159|17.438|15.101
 Orgiva|2.330|1.821|5.393|1.835|173|17.173|14.808
 Cijuela|1.505|1.182|3.209|1.844|176|17.111|14.908
 Gualchos|1.882|1.522|4.975|1.852|177|17.089|14.806
 Beas de Granada|463|356|1.005|1.878|181|16.974|14.891
 Dúrcal|3.549|2.810|7.159|1.954|196|16.723|14.661
 Lanjarón|1.699|1.311|3.717|1.955|197|16.722|14.593
 Vélez de Benaudalla|1.219|940|2.876|1.963|199|16.690|14.567
 Güevéjar|1.249|962|2.558|1.987|202|16.614|14.642
 Güejar Sierra|1.077|821|2.946|2.065|218|16.346|14.243
 Nigüelas|547|431|1.219|2.097|223|16.254|14.282
 Cogollos de la Vega|937|735|2.043|2.106|224|16.217|14.439
 Lecrín|993|796|2.178|2.111|227|16.208|14.396
 Loja|10.750|8.320|21.136|2.115|228|16.197|14.106
 Chauchina|2.503|1.934|5.499|2.146|237|16.070|14.125
 Albuñol|2.674|2.036|6.853|2.149|238|16.060|14.095
 Huéscar|3.892|3.118|7.772|2.190|250|15.864|13.764
 Benalúa|1.376|1.070|3.296|2.245|266|15.641|13.650
 Polopos|603|493|1.847|2.274|272|15.518|13.644
 Pinos Puente|5.068|3.999|12.808|2.276|273|15.503|13.682
 Jerez del Marquesado|517|384|1.027|2.285|276|15.447|13.795
 Láchar|1.432|1.094|3.260|2.336|291|15.251|13.470
 Villamena|486|389|1.063|2.360|300|15.166|13.582
 Fuente Vaqueros|1.829|1.435|4.479|2.434|323|14.910|13.185
 Iznalloz|2.924|2.250|6.867|2.441|325|14.901|13.354
 Campotéjar|658|515|1.317|2.447|326|14.879|13.487
 Cortes y Graena|334|284|1.023|2.539|358|14.513|12.771
 Píñar|540|427|1.234|2.545|362|14.479|13.030
 Darro|560|425|1.501|2.555|364|14.454|13.035
 Illora|5.202|4.054|10.500|2.595|375|14.294|12.801
 Huétor Tájar|4.696|3.677|10.075|2.601|377|14.281|12.671
 Moraleda de Zafayona|1.470|1.108|3.224|2.609|381|14.264|12.812
 Cádiar|708|541|1.545|2.621|384|14.212|12.690
 Huéneja|598|493|1.193|2.626|387|14.180|12.594
 Malahá, La|981|751|1.853|2.634|392|14.168|12.786
 Valle, El|503|421|1.049|2.646|397|14.124|12.889
 Purullena|977|762|2.429|2.648|398|14.118|12.602
 Ugíjar|1.059|835|2.619|2.656|403|14.086|12.537
 Orce|544|422|1.264|2.659|406|14.066|12.485
 Guadahortuna|611|463|1.984|2.670|413|13.987|12.709
 Caniles|2.188|1.621|4.514|2.701|428|13.868|12.516
 Alhama de Granada|3.018|2.437|6.191|2.732|442|13.724|12.239
 Valle del Zalabí|1.127|911|2.274|2.734|443|13.705|12.175
 Cúllar|2.298|1.779|4.500|2.758|452|13.582|12.237
 Pinar, El|457|365|1.001|2.765|456|13.555|12.397
 Puebla de Don Fadrique|1.119|844|2.324|2.767|457|13.553|12.302
 Moclín|2.186|1.726|4.059|2.775|463|13.496|12.202
 Peza, La|564|435|1.263|2.779|466|13.482|12.273
 Molvízar|1.229|956|2.903|2.787|470|13.417|12.056
 Chimeneas|668|532|1.387|2.802|477|13.325|12.149
 Deifontes|1.216|921|2.574|2.811|480|13.272|11.940
 Galera|559|422|1.183|2.813|481|13.250|12.044
 Zújar|1.528|1.195|2.825|2.823|487|13.207|12.035
 Fonelas|345|275|1.050|2.833|496|13.139|11.853
 Montefrío|3.222|2.581|5.806|2.839|500|13.120|11.972
 Benamaurel|1.156|930|2.414|2.843|503|13.100|11.819
 Castilléjar|580|475|1.487|2.848|507|13.060|11.696
 Villanueva Mesía|1.051|823|2.045|2.850|508|13.025|11.801
 Guajares, Los|505|410|1.128|2.856|511|12.985|11.959
 Colomera|670|531|1.431|2.862|516|12.964|11.853
 Alpujarra de la Sierra|465|380|1.065|2.873|521|12.907|11.712
 Arenas del Rey|849|659|1.913|2.882|525|12.840|11.825
 Montillana|647|500|1.324|2.892|533|12.719|11.822
 Castril|1.206|949|2.290|2.899|536|12.624|11.512
 Otívar|506|381|1.108|2.902|537|12.588|11.535
 Cuevas del Campo|1.045|838|1.919|2.909|538|12.536|11.483
 Salar|1.396|1.087|2.735|2.914|541|12.458|11.355
 Pedro Martínez|420|368|1.182|2.915|542|12.456|11.451
